Country,CUST NAME,CUST #,PROGRAM,Dest,,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022,1/17/2022,1/24/2022,1/31/2022,2/7/2022
,,,,,Index,830,906,913,920,927,1004,1011,1018,1025,1101,1108,1115,1122,1129,1206,1213,1220,1227,103,110,117,124,131,207
Canada,TMMC,U006,320B,RAV4,U006 320B,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U006,685B,LEXUS-5A,U006 685B,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U006,760A,LEXUS-5A,U006 760A,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U006,922B,LEXUS NX-5A,U006 922B,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U006,848B,RAV4,U006 848B,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U006,964A,RAV4,U006 964A,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,TBCA,U013,320B,RAV4,U013 320B,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U013,102D,RAV4,U013 102D,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,,U013,922B,LEXUS NX,U013 922B,0,0,0,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,ELMIRA,U014,760A,LEXUS,U014 760A,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
Mexico (USA),TRMX,U455,-,,U455 -,5,4,5,5,6,5,4,5,5,5,5,5,5,5,5,5,4,0,5,5,5,5,5,5
,TMMGT,U070,774B,TACOMA,U070 774B,6,2,0,5,6,5,4,5,5,6,5,4,4,5,5,5,3,0,5,5,5,5,5,5
,TMMBC,U041,989A,TACOMA,U041 989A,6,0,0,4,6,5,4,5,5,5,5,5,4,5,5,5,3,0,5,5,5,5,5,5
,AVANM,U071,774B,TACOMA,U071 774B,5,4,5,5,6,5,4,5,5,5,5,5,5,5,5,5,3,0,5,5,5,5,5,5
USA,TMMK,C007,096B,LEXUS ES - SL,C007 096B,0,4,5,5,6,6,4,5,5,6,5,6,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,241B,LEXUS ES - SL,C007 241B,0,4,5,5,6,6,4,5,5,6,5,6,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,707B,LEXUS ES - SL,C007 707B,0,4,5,5,6,6,4,5,5,6,5,6,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,947B,LEXUS - SL,C007 947B,0,4,5,5,6,6,4,5,5,6,5,6,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,985B,LEXUS - SL,C007 985B,0,4,5,5,6,6,4,5,5,6,5,6,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,881A,CAMRY - N2,C007 881A,5,4,5,5,6,6,4,5,5,6,5,5,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,010B,CAMRY - N1/N2,C007 010B,5,4,5,5,6,6,4,5,5,6,5,5,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,656B,CAMRY - N1,C007 656B,0,0,0,0,6,5,4,5,5,6,5,5,3,5,5,5,4,0,5,5,5,5,5,5
,,C007,370B,AVALON - N1,C007 370B,0,0,0,0,6,5,4,5,5,6,5,5,3,5,5,5,4,0,5,5,5,5,5,5
