Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,CF0131,AF0131,CF0207,AF0207,CF0214,AF0214,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
Misc,-,-,N,CAPCO,-,-,-,U077,370077,CAPCO,1,-,-,7F0010-0710,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,N,CAPCO,-,-,-,U077,370077,CAPCO,1,-,-,A8102A-Y2Y9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,0,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,-,-,-,-,-,-,-,No,#REF!
Misc,capco HA,-,N,-,-,-,732000C02000,C095,370095,Braun Ability,20,-,SERVICE,A2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,-,-,-,-,656650300A,C098,370098,Autoliv,70,C098,AUT1,730461-7530,2900,2900,2900,2900,1920,1920,1920,1920,2100,2100,1920,1920,1920,1920,1400,1400,2220,2220,2160,2160,2160,2160,1920,1920,1920,1920,1920,1920,1920,1920,1920,1536,0,0,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,-,-,-,-,656650400A,C098,370098,Autoliv,70,C098,AUT2,730461-7540,2880,2880,2896,2896,1920,1920,1920,1920,2100,2100,1920,1920,1920,1920,1400,1400,2220,2220,2160,2160,2160,2160,1920,1920,1920,1920,1920,1920,1920,1920,1920,1536,0,0,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,1920,-,-,-,-,-,-,-,No,#REF!
Capco,Misc,USA,N,CAPCO,J540-1,CX-X,VA4057960III,U092,300092,Mazda,20,SOP Jan 2022,SDET,7M5380-701,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,48,0,0,280,280,280,280,280,280,280,280,280,280,280,280,280,280,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,S1,J540-1,CX-X,VA4057L90III,U092,300092,Mazda,6,SOP Jan 2022,SDBZ,7V2710-707,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,0,0,138,138,138,138,138,138,138,138,138,138,138,138,138,138,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,S1,J540-1,CX-X,VA6057L90III,U092,300092,Mazda,6,SOP Jan 2022,SDC0,7V2720-707,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,S1,J540-1,CX-X,VA4057L30III,U092,300092,Mazda,6,SOP Jan 2022,SDBX,7V1710-707,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24,0,0,138,138,138,138,138,138,138,138,138,138,138,138,138,138,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,S1,J540-1,CX-X,VA6057L30III,U092,300092,Mazda,6,SOP Jan 2022,SDBY,7V1720-707,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,S1,J540-1,CX-X,VAY15763X,U092,300092,Mazda,16,SOP Jan 2022,-,7V1820-701,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,S1,J540-1,CX-X,VAY05763X,U092,300092,Mazda,16,SOP Jan 2022,-,7V1830-701,0,0,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,13,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4157620,U092,300092,TBAKI,20,SOP Jan 2022,-,7V1730-701,0,0,0,0,0,0,160,160,0,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4057620,U092,300092,TBAKI,16,SOP Jan 2022,-,7V1710-701,0,0,0,0,0,0,144,144,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,112,112,112,112,112,112,112,112,112,112,112,112,112,112,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA6057620,U092,300092,TBAKI,16,SOP Jan 2022,-,7V1720-701,0,0,0,0,0,0,112,112,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,0,0,16,16,16,16,16,16,16,16,16,16,16,16,16,16,-,-,-,-,-,-,-,No,#REF!
B15,MF3,USA,N,-,J5401,CX-X,VA4057680,U092,300092,TBAKI,16,SOP Jan 2022,-,7V2710-701,0,0,0,0,0,0,176,176,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,0,0,144,144,144,144,144,144,144,144,144,144,144,144,144,144,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,730419-0542,U455,340055,TRMX,24000,-,S0Z3,730419-0542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24000,19200,0,0,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,-,-,-,-,-,-,-,No,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730419-1200,U455,340055,TRMX,500,730419-1200,S0YX-M,730419-1200,1000,4000,4000,0,0,2000,2000,2000,2000,3000,3000,4000,4000,6000,6000,5000,5000,5000,5000,6000,6000,6000,6000,6000,6000,6000,6000,6000,7000,7000,4000,3200,0,0,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,5750,"4,000","1,000",4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730419-1640,U455,340055,TRMX,1000,55787C,S0Y5-M,730419-1640,0,0,0,0,0,0,0,2000,2000,2000,2000,2000,2000,2000,2000,4000,4000,2000,2000,4000,4000,4000,4000,2000,2000,2000,2000,2000,4000,4000,2000,1600,0,0,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7160,U455,340055,TRMX,49,A2404C-145B,S0Z0-M,730480-7160,0,980,980,0,0,0,0,0,0,1470,1470,1960,1960,1960,1960,1176,1176,1372,1372,1372,1372,1372,1372,1372,1372,1372,1960,1960,1960,1960,980,784,0,0,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,1421,980,245,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7170,U455,340055,TRMX,49,A2404C-014B,S0Z1-M,730480-7170,0,0,0,0,0,0,0,0,0,490,490,490,490,490,490,490,490,490,490,490,490,490,490,588,588,588,588,588,588,588,294,235,0,0,564,564,564,564,564,564,564,564,564,564,564,564,564,564,0,0,4,-,-,-,-,Yes,#REF!
Misc,Mold DS,Mex,Y,TRMX,-,-,730480-7180,U455,340055,TRMX,49,A2404C-105B,S0YB-M,730480-7180,0,1568,1568,0,0,0,0,0,0,2940,2940,2940,2940,2940,2940,3920,3920,2940,2940,3920,3920,2940,2940,3920,3920,3920,2940,2940,3920,3920,1960,1568,0,0,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,2940,"1,568",392,4,-,-,-,-,Yes,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5030-0010,U455,340055,TRMX,4200,-,S0YD-L,7P5030-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,4200,0,0,0,0,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5034-0010,U455,340055,TRMX,4200,-,S0YE-L,7P5034-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4200,3360,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
Misc,Misc,Mex,N,TRMX,-,-,7P5037-0010,U455,340055,TRMX,4200,-,S0YF-L,7P5037-0010,4200,0,0,0,0,0,0,0,0,0,0,0,0,4200,4200,0,0,0,0,4200,4200,0,0,4200,4200,4200,0,0,4200,4200,0,0,0,0,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,1050,-,-,-,-,-,-,-,No,#REF!
