Dock code,QSS Item,CUST #,Tech,Cell,Back no,AF0628,AF0705,AF0712,AF0719,AF0726,AF0802,AF0809,AF0816,AF0823,AF0830,AF0906,AF0913,AF0920,AF0927,AF1004,AF1011,AF1018,AF1025,AF1101,AF1108,AF1115,AF1122,AF1129,AF1206
TRMX,7L0059-7011,U455,B15,AA08,S08H,11328,14400,0,19200,19200,19200,20160,20160,20160,23040,18240,16320,16320,19584,18586,16320,16320,16320,16320,16320,16320,16320,16320,16320
TMMC2A,7V1420-707,U006,D14PF,F15,B271,2984,3690,3600,0,3650,2960,3700,3700,3700,3700,2960,3700,3700,3765,3873,3098,3873,3873,3873,3873,3873,3873,3873,3873
TMMC2A,7V2420-707,U006,D14PF,F13,D190,2984,3690,3600,0,3650,2960,3700,3700,3700,3700,2960,3700,3700,3765,3873,3098,3873,3873,3873,3873,3873,3873,3873,3873
TMMC2B,7M9110-701,U006,B15,CF3,B384,604,746,734,0,744,592,567,441,426,428,411,521,518,512,449,359,449,449,449,449,449,449,449,449
TMMC2B,7M9120-701,U006,B15,CF3,Q473,2380,2944,2866,0,2906,2368,3133,3259,3274,3272,2549,3179,3182,3188,3425,2740,3425,3425,3425,3425,3425,3425,3425,3425
TMMC2B,7V1390-707-C3,U006,D13,F45,A202,2984,3690,3600,0,3650,2960,3700,3700,3700,3700,2960,3700,3700,3700,3873,3098,3873,3873,3873,3873,3873,3873,3873,3873
TMMC2B,7V1420-701,U006,B15,B10,C305,604,746,734,0,744,592,567,441,426,428,411,521,518,512,449,359,449,449,449,449,449,449,449,449
TMMC2B,7V1470-701,U006,B15,B10,D796,2380,2944,2866,0,2906,2368,3133,3259,3274,3272,2549,3179,3182,3188,3425,2740,3425,3425,3425,3425,3425,3425,3425,3425
TMMC2B,7V2070-707-C3,U006,D13,F49,M770,2984,3690,3600,0,3650,2960,3700,3700,3700,3700,2960,3700,3700,3700,3873,3098,3873,3873,3873,3873,3873,3873,3873,3873
TMMC5A,A1516-008B,U006,D13,F44,G591,790,1043,774,0,745,701,981,715,723,742,604,710,754,754,739,591,739,739,739,739,739,739,739,739
TMMC5A,A1516-146B,U006,D13,F44,Q633,989,1259,1040,0,1049,968,1003,1281,1271,1283,1037,1331,1303,1252,1295,1036,1295,1295,1295,1295,1295,1295,1295,1295
TMMC5A,A1516-201B,U006,D13,F44,P030,268,323,286,0,290,275,446,474,476,490,371,469,453,461,461,369,461,461,461,461,461,461,461,461
TMMC5A,A1524-201B,U006,D9CPF,IF1,N597,2048,2625,2100,0,2084,1944,2430,2470,2470,2515,2012,2510,2510,2466,2495,1996,2495,2495,2495,2495,2495,2495,2495,2495
TMMC5A,A1529-008B,U006,D13,F44,Q198,790,1043,774,0,745,701,981,715,723,742,604,710,754,754,739,591,739,739,739,739,739,739,739,739
TMMC5A,A1529-146B,U006,D13,F44,N576,989,1259,1040,0,1049,968,1003,1281,1271,1283,1037,1331,1303,1252,1295,1036,1295,1295,1295,1295,1295,1295,1295,1295
TMMC5A,A1529-201B,U006,D13,F44,N496,268,323,286,0,290,275,446,474,476,490,371,469,453,461,461,369,461,461,461,461,461,461,461,461
TMMC5A,A1533-201B,U006,D9CPF,IF1,Q523,2048,2625,2100,0,2084,1944,2430,2470,2470,2515,2012,2510,2510,2466,2495,1996,2495,2495,2495,2495,2495,2495,2495,2495
TMMCBA,7M9110-701,U006,B15,CF3,B384,651,819,810,449,761,649,863,803,778,634,440,546,549,556,766,613,766,766,766,766,766,766,766,766
