Tech,Cell,Destination,Cdn Holiday BA,Dock code,PROGRAM,Vehicle,Cust part #,CUST #,BPCS#,Dest,QPC,Misc,Back no,QSS Item,CF0816,AF0816,CF0823,AF0823,CF0830,AF0830,CF0906,AF0906,CF0913,AF0913,CF0920,AF0920,CF0927,AF0927,CF1004,AF1004,CF1011,AF1011,CF1018,AF1018,CF1025,AF1025,CF1101,AF1101,CF1108,AF1108,CF1115,AF1115,CF1122,AF1122,CF1129,AF1129,CF1206,AF1206,CF1213,AF1213,CF1220,AF1220,CF1227,AF1227,CF0103,AF0103,CF0110,AF0110,CF0117,AF0117,CF0124,AF0124,1 week dem,Daily hej level,1 week WD,1 day PINK,DLN,Batch ordering,Status,On heijunka,Part# check
Misc,-,-,N,CAPCO,-,-,-,U077,370077,CAPCO,1,-,-,7F0010-0710,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,0,6,6,6,6,6,6,6,6,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,N,CAPCO,-,-,-,U077,370077,CAPCO,1,-,-,A8102A-Y2Y9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,40,0,0,50,50,50,50,50,50,50,50,-,-,-,-,-,-,-,No,#REF!
Misc,capco HA,-,N,-,-,-,732000C02000,C095,370095,Braun Ability,20,-,SERVICE,A2908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,-,-,-,-,656650300A,C098,370098,Autoliv,70,C098,AUT1,730461-7530,3000,3000,2948,2948,2900,2900,2900,2900,2900,2900,1920,1920,1920,1920,2100,2100,1920,1920,1920,1920,2160,2160,2220,2220,2160,2160,2160,2160,1920,1920,1920,1920,1920,1920,1920,1920,1920,1536,0,0,1920,1920,1920,1920,1920,1920,1920,1920,-,-,-,-,-,-,-,No,#REF!
Misc,-,-,-,-,-,-,656650400A,C098,370098,Autoliv,70,C098,AUT2,730461-7540,2980,2980,3004,3004,2872,2872,2880,2880,2896,2896,1920,1920,1920,1920,2100,2100,1920,1920,1920,1920,2160,2160,2220,2220,2160,2160,2160,2160,1920,1920,1920,1920,1920,1920,1920,1920,1920,1536,0,0,1920,1920,1920,1920,1920,1920,1920,1920,-,-,-,-,-,-,-,No,#REF!
Capco,Misc,USA,N,CAPCO,J5401,CX-X,VA4057960,U092,300092,Mazda,20,SOP Jan 2022,-,7M5380-701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,576,2800,2240,0,0,2800,2800,2800,2800,2800,2800,2800,2800,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,-,J5401,CX-X,VA4057L90,U092,300092,Mazda,6,SOP Jan 2022,-,7V2710-707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1356,1085,0,0,1356,1356,1356,1356,1356,1356,1356,1356,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,-,J5401,CX-X,VA6057L90,U092,300092,Mazda,6,SOP Jan 2022,-,7V2720-707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42,34,0,0,42,42,42,42,42,42,42,42,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,-,J5401,CX-X,VA4057L30,U092,300092,Mazda,6,SOP Jan 2022,-,7V1710-707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,276,1356,1085,0,0,1356,1356,1356,1356,1356,1356,1356,1356,-,-,-,-,-,-,-,No,#REF!
D13,F4G,USA,N,-,J5401,CX-X,VA6057L30,U092,300092,Mazda,6,SOP Jan 2022,-,7V1720-707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,42,34,0,0,42,42,42,42,42,42,42,42,-,-,-,-,-,-,-,No,#REF!
