Part,Cust #,8/2/2021,8/9/2021,8/16/2021,8/23/2021,8/30/2021,9/6/2021,9/13/2021,9/20/2021,9/27/2021,10/4/2021,10/11/2021,10/18/2021,10/25/2021,11/1/2021,11/8/2021,11/15/2021,11/22/2021,11/29/2021,12/6/2021,12/13/2021,12/20/2021,12/27/2021,1/3/2022,1/10/2022
7V1070-707-C4,U090,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A,F4A
7V2070-707-C3,U090,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B,F4B
7V1480-707-C1,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V1484-707-A2,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V1487-707-B2,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V1390-707-C3,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V1394-707-A2,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V1397-707-B2,C028,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C,F4C
7V2070-707-C3,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2072-707-A4,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2078-707-B2,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2480-707-C0,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2484-707-A0,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2487-707-B0,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2690-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2694-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2697-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2700-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2704-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V2707-707,C028,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D,F4D
7V1590-707-C3,C028,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V1594-707-A1,C028,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V1597-707-B1,C028,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V1604-707-A1,C028,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V1607-707-B1,C028,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V1770-707,U050,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E,F4E
7V2070-707-C3,U050,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2590-707-C3,C028,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2594-707-A1,C028,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2597-707-B1,C028,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2604-707-A1,C028,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2607-707-B1,C028,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F,F4F
7V2710-707,-,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G
7V2720-707,-,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G
7V1710-707,-,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G
7V1720-707,-,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G,F4G
A1507-201B,U041,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1507-201B,U044,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-105B,U041,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-105B,U044,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-201B,U044,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-201B,U041,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1500-201B,U070,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1501-201B,U070,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-105B,U070,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1502-201B,U070,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1507-201B,U070,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43,F43
A1507-105B,U044,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1507-105B,U041,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1507-105B,U070,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1516-146B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1516-201B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1516-008B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1529-008B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1529-146B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
A1529-201B,U006,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V1740-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V1740-707-C3,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V1743-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V1748-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V2740-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V2740-707-C3,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V2743-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V2748-707,C007,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44,F44
7V1390-707-C3,U006,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45
7V1390-707-C3,C007,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45,F45
7V1074-707-A0,C007,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46
7V1070-707-C4,C007,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46,F46
7V2070-707-C3,C007,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47,F47
7V1073-707,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V1077-707,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
7V2073-707,C007,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48,F48
