,Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
A1598-201BF43C015,A1598-201B,F43,C015,D13,-,0.00,-,,0,0,125.9,0.0,6626.1,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,107.95,70.86,70.86, , ,
A1598-Y2Y9F43C015,A1598-Y2Y9,F43,C015,D13,-,0.00,-,,0,0,125.9,0.0,6626.1,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,107.95,70.86,70.86, , ,
A1577-201BF42C015,A1577-201B,F42,C015,D13,-,0.00,-,,0,0,125.9,0.0,0.0,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,101.81,69.65,69.65, , ,
A1577-Y2Y9F42C015,A1577-Y2Y9,F42,C015,D13,-,0.00,-,,0,0,125.9,0.0,0.0,0.0,,3, 1.00 , 0.50 ,7.28,110%, ,101.81,69.65,69.65, , ,
A1600-015BF42C015,A1600-015B,F42,C015,D13,-,0.00,-,,0,0,109.1,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,41.02,27.94,21.55, , ,
A1600-201BF42C015,A1600-201B,F42,C015,D13,-,0.00,-,,0,0,109.1,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,41.02,27.94,21.55, , ,
A1602-015BF42C015,A1602-015B,F42,C015,D13,-,0.00,-,,0,0,109.1,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,41.02,27.94,21.55, , ,
A1602-201BF42C015,A1602-201B,F42,C015,D13,-,0.00,-,,0,0,109.1,0.0,0.0,0.0,,4, 1.00 , 0.50 ,7.28,110%, ,41.02,27.94,21.55, , ,
A1610-015BF41,A1610-015B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1610-140BF41,A1610-140B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1610-201BF41,A1610-201B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1601-015BF41,A1601-015B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1601-201BF41,A1601-201B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1603-015BF41,A1603-015B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1603-201BF41,A1603-201B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1611-015BF41,A1611-015B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1611-140BF41,A1611-140B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1611-201BF41,A1611-201B,F41,,,,,,,0,0,109.1,0.0,0.0,#DIV/0!,,4, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1605-015B-TCF42,A1605-015B-TC,F42,,,,,,,0,0,121.5,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
A1605-140B-TCF42,A1605-140B-TC,F42,,,,,,,0,0,121.5,0.0,0.0,#DIV/0!,,3, 1.00 , 0.50 ,7.28,110%, ,#DIV/0!,#DIV/0!,#DIV/0!, , ,
