7,,Part No.,Cell,Cust,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc
8,,,,,(sec/pc),,,,,
9,7V1420-701B10U006,7V1420-701,B10,U006,28.552248256083274,31.150998256083273, , , , 
10,7V1470-701B10U006,7V1470-701,B10,U006,36.25224825608328,37.750998256083285, , , , 
11,7V1470-701B10C007,7V1470-701,B10,C007,36.25224825608328,37.750998256083285, , , , 
12,A4076-138BMF1U066,A4076-138B,MF1,U066,35.28649094677564,36.49649094677565, , , , 
13,A4076-201BMF1U066,A4076-201B,MF1,U066,35.28649094677564,36.49649094677565, , , , 
14,A4076-457BMF1U066,A4076-457B,MF1,U066,34.21,35.42000000000001, , , , 
15,A1580-201BMF1U066,A1580-201B,MF1,U066,35.28649094677564,36.49649094677565, , , , 
16,A1580-201BMF1U071,A1580-201B,MF1,U071,35.28649094677564,36.49649094677565, , , , 
17,7V1670-701MF1U049,7V1670-701,MF1,U049,38.58649094677565,43.096490946775646, , , , 
18,7V2670-701MF1U049,7V2670-701,MF1,U049,38.58649094677565,43.096490946775646, , , , 
19,7V2680-701MF1U049,7V2680-701,MF1,U049,38.58649094677565,43.096490946775646, , , , 
20,7V1120-701MF2C029,7V1120-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
21,7V1124-701MF2C029,7V1124-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
22,7V1127-701MF2C029,7V1127-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
23,7V1130-701MF2C029,7V1130-701,MF2,C029,34.21,35.42000000000001,39.6, , , 
24,7V1134-701MF2C029,7V1134-701,MF2,C029,34.21,35.42000000000001,39.6, , , 
25,7V1137-701MF2C029,7V1137-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
26,7V1620-701MF2C033,7V1620-701,MF2,C033,58.86620718837117,60.626207188371176,69.75620718837118, , , 
27,7V2120-701MF2C029,7V2120-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
28,7V2124-701MF2C029,7V2124-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
29,7V2127-701MF2C029,7V2127-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
30,7V2130-701MF2C029,7V2130-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
31,7V2134-701MF2C029,7V2134-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
32,7V2137-701MF2C029,7V2137-701,MF2,C029,36.316207188371166,37.526207188371174,41.70620718837117, , , 
33,A1579-201BMF2U066,A1579-201B,MF2,U066,36.316207188371166,37.526207188371174,41.70620718837117, , , 
34,A1579-201BMF2U071,A1579-201B,MF2,U071,36.316207188371166,37.526207188371174,41.70620718837117, , , 
35,7V2560-701MF1U066,7V2560-701,MF1,U066,39.61620718837117,44.12620718837117,48.636207188371166, , , 
36,7V2560-701MF2U071,7V2560-701,MF2,U071,39.61620718837117,44.12620718837117,48.636207188371166, , , 
37,7V1110-701MF2U066,7V1110-701,MF2,U066,41.26620718837117,45.00620718837117,48.636207188371166, , , 
38,7V1114-701MF2U066,7V1114-701,MF2,U066,41.26620718837117,45.00620718837117,48.636207188371166, , , 
39,7V1117-701MF2U066,7V1117-701,MF2,U066,41.26620718837117,45.00620718837117,48.636207188371166, , , 
