,Cell,Part,Cust,Cust #,Prog #,Prog,,Part1,Parent Cell,Parent Part,,1,2,3,4,5,6,7
F4A7V1070-707-C4C007,F4A,7V1070-707-C4,TMMK,C007,010B,CAMRY,D13,7V107,AA06,,,30.95321961,,,,,,
F4A7V1070-707-C4U090,F4A,7V1070-707-C4,TMMMS,U090,150B,COROLLA,D13,7V107,AA06,,,38.65321961,,,,,,
F4AService,F4A,Service,0.01,,,,,,,,,38.65321961,,,,,,
F4B7V2070-707-C3U090,F4B,7V2070-707-C3,TMMMS,U090,150B,COROLLA,D13,7V207,AA06,,,30.95321961,,,,,,
F4B7V2070-707-C3C007,F4B,7V2070-707-C3,TMMK,C007,010B,CAMRY,D13,7V207,AA06,,,32.03810554,,,,,,
F4B7V2070-707-C3U006,F4B,7V2070-707-C3,TMMC,U006,320B,RAV4,D13,7V207,AA06,,,32.03810554,,,,,,
F4BService,F4B,Service,0.01,,,,,,,,,32.03810554,, ,,,,
F4C7V1480-707-C1C028,F4C,7V1480-707-C1,TMMI,C028,550B,HIGHLANDER,D13,7V148,AA06,,,36.57893229,,,,,,
F4C7V1484-707-A2C028,F4C,7V1484-707-A2,TMMI,C028,550B,HIGHLANDER,D13,7V148,AA06,,,36.57893229,,,,,,
F4C7V1487-707-B2C028,F4C,7V1487-707-B2,TMMI,C028,550B,HIGHLANDER,D13,7V148,AA06,,,36.57893229,,,,,,
F4C7V1390-707-C3C028,F4C,7V1390-707-C3,TMMI,C028,550B,HIGHLANDER,D13,7V139,S3A,,,43.72893229,,,,,,
F4C7V1394-707-A2C028,F4C,7V1394-707-A2,TMMI,C028,550B,HIGHLANDER,D13,7V139,S3A,,,43.72893229,,,,,,
F4C7V1397-707-B2C028,F4C,7V1397-707-B2,TMMI,C028,550B,HIGHLANDER,D13,7V139,S3A,,,43.72893229,,,,,,
F4CService,F4C,Service,0.01,,,,,,,,,43.72893229,,,,,,
F4D7V2070-707-C3C028,F4D,7V2070-707-C3,TMMI,C028,550B,HIGHLANDER,,7V207,AA06,,,35.76115966,,,,,,
F4D7V2072-707-A4C028,F4D,7V2072-707-A4,TMMI,C028,550B,HIGHLANDER,,7V207,AA06,,,35.76115966,,,,,,
