7,Part No.,Cell,Cust,Tech,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
8,,,,,(sec/pc),,,,,,
9,A0971A,A4A sub,,D10,12.148317204301076, , , , , ,
10,A4457H,S3A,,D13, , , , , , ,142.54652076318746
11,A4457J,S3A,,D13, , , , , , ,142.54652076318746
12,A4484G,S3A,,D13, , , , , , ,142.54652076318746
13,A4483H,S3A,,D13, , , , , , ,142.54652076318746
14,7P0782-7011,S3A,,D13, , , , , ,,142.54652076318746
15,7V0718-7012,S3A,,D13, , , , , ,,142.54652076318746
16,50552A,A4A sub,,D10,3.003, , , , , ,
17,50561B,A4A sub,,D10,3.003, , , , , ,
18,50562B,A4A sub,,D10,3.003, , , , , ,
19,50567A,A4A sub,,D10,3.003, , , , , ,
20,50568A,A4A sub,,D10,3.003, , , , , ,
21,A0951A,A4A sub,,D10,12.148317204301076, , , , , ,
22,A0948A,A4A sub,,D10,12.148317204301076, , , , , ,
23,A0960A,A4A sub,,D10,12.148317204301076, , , , , ,
24,50578A,A4A sub,,D10,3.003, , , , , ,
25,A4315C,A4A,,D10, ,232.00000000000003, , , , ,
26,A0261B,A4A,,D10, ,232.00000000000003, , , , ,
27,A0268B,A4A,,D10, ,232.00000000000003, , , , ,
28,A0265B,A4A,,D10, ,232.00000000000003, , , , ,
29,A0264B,A4A,,D10, ,232.00000000000003, , , , ,
30,A4320B,A4A,,D10, ,232.00000000000003, , , , ,
31,A4321B,A4A,,D10, ,232.00000000000003, , , , ,
32,A4341D,A4A,,D10, ,232.00000000000003, , , , ,
33,A4342E,A4A,,D10, ,232.00000000000003, , , , ,
34,A4343B,A4A,,D10, ,232.00000000000003, , , , ,
35,A4344B,A4A,,D10, ,232.00000000000003, , , , ,
36,A4367D,A4A,,D10, ,232.00000000000003, , , , ,
37,A1418E,A4A,,D10, ,232.00000000000003, , , , ,
38,A1436B,A4A,,D10, ,232.00000000000003, , , , ,
39,A1435B,A4A,,D10, ,232.00000000000003, , , , ,
40,A4463C,A4A,,D10, ,232.00000000000003, , , , ,
41,A4468B,A4A,,D10, ,232.00000000000003, , , , ,
42,A4469B,A4A,,D10, ,232.00000000000003, , , , ,
43,A4319B,A4A,,D10, ,232.00000000000003, , , , ,
44,A4318B,A4A,,D10, ,232.00000000000003, , , , ,
45,50579A,A4A sub,,D10,12.148317204301076, , , , , ,
46,50580A,A4A sub,,D10,12.148317204301076, , , , , ,
47,A0980A,CS2,,,13.037200000000002, , , , , ,
48,A0975B,CS2,,,13.037200000000002, , , , , ,
49,A4554D,A6A,C007,D13,5.263157894736842,10.526315789473683, , , , ,
50,A4551C,A6A,C007,D13,5.263157894736842,10.526315789473683, , , , ,
51,A4554D,A6A,U090,D13,5.263157894736842,10.526315789473683, , , , ,
52,A4551C,A6A,U090,D13,5.263157894736842,10.526315789473683, , , , ,
53,A4551C,A6A,U006,D13,5.263157894736842,10.526315789473683, , , , ,
54,A4554D,A6A,C007,D13,5.263157894736842,10.526315789473683, , , , ,
55,7P0768-7013,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
56,7P0770-7013,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
57,7P0779-7021,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
58,A4539C,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
59,A4544E,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
60,A4547C,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
61,A4551C,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
62,A4553C,A6A,U006,D13,5.263157894736842,10.526315789473683, , , , ,
63,A4556E,A6A,U006,D13,5.263157894736842,10.526315789473683,,, , ,
64,A4538C,A6A,U070,D13,5.263157894736842,10.526315789473683,,, , ,
65,A4539C,A6A,U070,D13,5.263157894736842,10.526315789473683, , , , ,
66,A4540D,A6A,U070,D13,5.263157894736842,10.526315789473683,, , , ,
67,A4537D,A6A,U070,D13,5.263157894736842,10.526315789473683, , , , ,
68,A4558C,A6A,C028,D13,5.263157894736842,10.526315789473683, , , , ,
69,A4561C,A6A,U050,D13,5.263157894736842,10.526315789473683, , , , ,
70,A4550C,A6A,U050,D13,5.263157894736842,10.526315789473683, , , , ,
71,7P0781-7021,A6A,U006,D13,5.263157894736842,10.526315789473683, , , , ,
72,7P0783-7021,A6A,U006,D13,5.263157894736842,10.526315789473683, , , , ,
73,A4561C,A6A,C007,D13,5.263157894736842,10.526315789473683, , , , ,
74,A4560C,A6A,C007,D13,5.263157894736842,10.526315789473683, , , , ,
75,A4538C,A6A,U044,D13,5.263157894736842,10.526315789473683, , , , ,
76,A4539C,A6A,U044/U041,D13,5.263157894736842,10.526315789473683, , , , ,
77,A4540D,A6A,U044/U041,D13,5.263157894736842,10.526315789473683, , , , ,
78,A4537D,A6A,U044,D13,5.263157894736842,10.526315789473683, , , , ,
79,7P0775-7021,A6A,U092,D13,5.263157894736842,10.526315789473683, , , , ,
80,7P0777-7021,A6A,U092,D13,5.263157894736842,10.526315789473683, , , , ,
81,7P0776-7021,A6A,U092,D13,5.263157894736842,10.526315789473683,,, , ,
82,7P0778-7021,A6A,U092,D13,5.263157894736842,10.526315789473683,,, , ,
83,7M5280-7081,P61,,D12,11.2432474592295, , , , , ,
84,7M5300-7091,P61,,D12,16.531, , , , , ,
85,7M5290-7091,P61,,D12,16.531, , , , , ,
86,7P0775-7010,AA06,,D13, ,10,,, , ,
87,7P0776-7010,AA06,,D13, ,10,,, , ,
88,7P0777-7010,AA06,,D13, ,10,,, , ,
89,7P0778-7010,AA06,,D13, ,10,,, , ,
90,A4481F,AA06,,D13, ,10,,, , ,
91,7F0010-7630,AC1,,,8.91,,,, , ,
92,7F0010-7830,AC1,,,8.91,,,, , ,
93,7F0010-7680,SA6,,D-13 D-Cut Process,14.037861497496635,,,,,,
94,7F0010-7570,SA6,,D-13 D-Cut Process,14.037861497496635,,,,,,
95,7F0010-7031,SA6,,D-12 Web Loop Stopper Cut & Sew Process,18.437861497496634,,,,,,
96,50753B-435B,SUB5,,, ,133.56,,,,,
97,A0707B-137B,SUB5,,, ,133.56,,,,,
98,A0604E,AA07,,,,9.88, , , , ,
99,A0606D,AA07,,,,9.88, , , , ,
100,A0606C,AA07,,,,9.88, , , , ,
101,A0607D,AA07,,,,9.88, , , , ,
102,A0646D,AA07,,,,9.88, , , , ,
103,A0647D,AA07,,,,9.88, , , , ,
104,A0655D,AA07,,,,9.88, , , , ,
105,A0656E,AA07,,,,9.88, , , , ,
106,A0662C,AA07,,,,9.88, , , , ,
107,7L0038-7012,AA07,,,,9.88, , , , ,
108,7L0039-7013,AA07,,,,9.88, , , , ,
109,7L0040-7012,AA07,,,,9.88, , , , ,
110,7L0041-7012,AA07,,,,9.88, , , , ,
111,7V1670-7031,AA07,,,,9.88, , , , ,
112,7V2670-7031,AA07,,,,9.88, , , , ,
113,7V1950-7030,AA07,,,,9.88,,,,,
114,7V2950-7030,AA07,,,,9.88,,,,,
115,7V1610-7032,AA07,,,,9.88, , , , ,
116,7L0109-7020,AA07,,D13 SFL,,9.88, , , , ,
117,A0606D,AA08,,D13 SFL,4.222222222222222, , , , , ,
118,A0607D,AA08,,D13 SFL,4.222222222222222, , , , , ,
119,7L0059-7011,AA08,,D13 SFL,4.222222222222222,, , , , ,
120,50753B-105B,SUB5,,D13 SFL,,133.56, , , , ,
121,50754B-435B,SUB5,,D13 SFL, ,133.56, , , , ,
122,A0726B-105B,SUB5,,D13 SFL, ,133.56, , , , ,
123,A0726B-443B,SUB5,,D13 SFLII, ,133.56, , , , ,
124,A0707B-128B,SUB5,,D13, ,133.56, , , , ,
125,A0707B-447B,SUB5,,D13, ,133.56, , , , ,
126,50795E-134B,SUB5,,D13, ,133.56, , , , ,
127,50796E-134B,SUB5,,D13, ,133.56, , , , ,
128,A0701C-128B,SUB5,,D13, ,133.56, , , , ,
129,A0729B-457B,CS2,,D13, , , ,7, , ,
130,A0729B-456B,CS2,,D13, , , ,7, , ,
131,A0741C-456B,SA1,,D13, , , ,12, , ,
132,50753B-201B,SUB5,,D13 SFLII, ,133.56, , , , ,
133,50753B-PC63,SUB5,,D13 SFLII, ,133.56, , , , ,
134,50753B-PK30,SUB5,,D13, ,133.56, , , , ,
135,50754B-110B,SUB5,,D13 , ,133.56, , , , ,
136,A0702B-007B,SUB5,,D13 , ,133.56, , , , ,
137,A0702B-134B,SUB5,,D13 , ,133.56, , , , ,
138,50754B-003B,SUB5,,D-Cut Process, ,133.56, , , , ,
