Part No.,Cell,Cust,Tech,Vehicle,Customer Demand,QPC,,Pcs/ Changovr,Chgovrs/ Day,Time/ Chgovr,Total Chgovr Time,Chgovr Time/Line,Chgovr Time/Line/Pc,,# Online Assoc, # Offline Assoc , # ATL ,Shift Hours,PF&D Allow,,1 Assoc,2 Assoc,3 Assoc,4 Assoc,5 Assoc,6 Assoc,7 Assoc
A4554D,A6A,C007,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4551D,A6A,C007,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4554D,A6A,U090,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4551C,A6A,U090,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4551C,A6A,U006,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4554D,A6A,C007,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0768-7013,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0770-7013,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0779-7021,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4539C,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4544E,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4547C,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4551C,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4553C,A6A,U006,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4556E,A6A,U006,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4538C,A6A,U070,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4539C,A6A,U070,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4540D,A6A,U070,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4537D,A6A,U070,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4558C,A6A,C028,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4561C,A6A,U050,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4550C,A6A,U050,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0781-7021,A6A,U006,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0783-7021,A6A,U006,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4561C,A6A,C007,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4560C,A6A,C007,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4538C,A6A,U044,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4539C,A6A,U044/U041,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4540D,A6A,U044/U041,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
A4537D,A6A,U044,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0775-7021,A6A,U092,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0777-7021,A6A,U092,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0776-7021,A6A,U092,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
7P0778-7021,A6A,U092,D13,,0.00,0,,0,0,,0.0,0.0,0.0,,2, 1.50 , 2.00 ,7.28,105%,,5.00,10.00,,,,,
